DISTRICT_NAME|CUSTOMER_ID|SECTOR_NAME|INDUSTRY_NAME|GENDER|NATIONALITY|MARITAL_STATUS|EDU_BG|PLACE_BIRTH|SUB_CITY|TOWN_COUNTRY|OCCUPATION|CUS_SALRG|NET_MONTHLY_OUT|NO_ACCT_TYPE|NO_ACCOUNTS|CUST_DATE|CHANNEL|MB_DATE|KPI_STATUS|CARD_USER|AVG_BAL|AVG_NO_TXN_FT|AVG_NO_TXN_TT_CR|AVG_NO_TXN_TT_DB|LAST_VISIT_DATE
JIMMA DISTRICT|gAAAAABnTu6KgUEoeHptOzpjogV-HaLoIUw8CjX5Rkr3mCJAWzU7E5LVxLiovqQwYAgS4N0L_lCOg_QLyI4Fm7cQvf9VWhspLw==|INDIVIDUAL|INDIVIDUAL|MALE|ET|MARRIED|Illiterate|AMHARA|BENCH SHEKO|MIZAN|PVT||NOTAVALIABLEYR0|1|1|1/14/2020|USSD|2/27/2024|INACTIVE|1|70155.4525|2.16666666666667|0.166666666666667|0.416666666666667|11/14/2024
DIRE DEWA DISTRICT|gAAAAABnTu6KEZzu_iD_I3c2ER25LZXTcOyYrmUytWKuNEiM_19hZ_GyogMSp_xpkyDqg-dB3kv0FEnmaFBZ7vWCw_D87YPldw==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|Diploma|DD|DD|DD|SELF EMPLOYED|10001-20000|12000.00YR144000|4|4|12/18/2021|USSD|4/17/2024|ACTIVE|1|11180.1041666667|9.16666666666667|3.16666666666667|4.75|11/20/2024
JIMMA DISTRICT|gAAAAABnTu6KhtjuYEJfrGhuZO8oQSwZ-bIJRQCbu7tTHMwEotiXj3hiW5sOzekrON2pjvSV2wwfSHFlVoH8Qim8toyNvayGgw==|INDIVIDUAL|INDIVIDUAL|MALE|ET|MARRIED|<12|BONGA|BONGA|BONGA|PRIVATE||NOTAVALIABLE YR 0|1|1|1/18/2020|USSD|10/7/2024|ACTIVE|1|21.2|0.5|0.333333333333333|0.0833333333333333|11/9/2024
CENTERAL ADDIS DISTRICT|gAAAAABnTu6KnfnG-euDaC47e6hKtwinB10M4SkCXE7reAz5qc3YmJ2plqBRJTi0dBMkqMVlpdwEbL250VxLBgy2lAj5U5ZcFw==|INDIVIDUAL|INDIVIDUAL|MALE|ET|MARRIED|>= 12|AA|GULELE|AA|Not Available||NOTAVALIABLEYR0 |5|5|10/27/2012|USSD|1/25/2016|INACTIVE|1|660506.608333333|30.25|0.0833333333333333|2.66666666666667|11/20/2024
MEKELLE DISTRICT|gAAAAABnTu6KqwG6Zru8df3WwP2DSYu1KfXCMBIdWSCn2l-u6Lqk9J7elqSVI-qdLbPqp1Aa84_w5DCCP98l-iJ8gUTzqQZ81w==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|Illiterate|MEKELLE|HADNET|MEKELLE|STUDENT||NOTAVALIABLEYR0|1|1|4/27/2023|USSD|12/12/2024|INACTIVE|1|1617.43833333333|1.0|0.5|0.166666666666667|5/6/2024
WEST ADDIS DISTRICT|gAAAAABnTu6KizGjWm8aLGHlAb8wlNeNn5b2wPWQQclCuhzpc9VUJ570meUWkAgrF3BZ5SPwelg8kJZHAi2CgcDtkjU2wB6iDA==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|>= 12|ETHIOPIA|AMHARA REGION|AMHARA REGION|Not Available||NOTAVALIABLEYR0|1|1|5/12/2021|USSD|12/28/2023|ACTIVE|1|45474.105|14.8333333333333|0.166666666666667|0.416666666666667|11/4/2024
EAST ADDIS DISTRICT|gAAAAABnTu6KPs1ZEImkkLwv34n3DTkRTnx881cIFVQlvWgjsCy6kAl9AukME3JDUD0VNwIypQLHwEnvC7d_p6FVBq3GYVOwHA==|INDIVIDUAL|INDIVIDUAL|MALE|ET|DIVORCED|>= 12|SNNP|AKKK|AA|SELF EMPLOYEED||5000YR60000 |3|3|12/21/2020|USSD|1/11/2024|ACTIVE|1|6451.64666666667|8.41666666666667|2.41666666666667|0.583333333333333|11/14/2024
BAHIRDAR DISTRICT|gAAAAABnTu6Kcynf_DFZxrmoD5KsOaEtfy0s_cAhs7IjSamnpvH1nUrpktAOB8e3Wkfy3wlL725GJ7cW7_XS7wmudowvVuCuFg==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|Diploma|BAHIRDAR|BDR|BDR|DRIVER|1000-10000|1200YR14400 |1|1|12/16/2022|USSD|9/2/2023|ACTIVE|1|283.508333333333|8.25||0.416666666666667|11/18/2024
BAHIRDAR DISTRICT|gAAAAABnTu6KAF4yiM2R6etdKh41nQF7GeJtZIctOJSq7VHxAXdXRjV6p5FN7T2Fhr3H_ER9qO7ak4lL-sVwxyDjaoZIIwWzbA==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|Illiterate|YENAGNAT|EAST GOJJAM|DEJEN|GOVT||5000.00YR60000|1|1|9/26/2024|USSD|10/1/2024|ACTIVE|1||0.833333333333333|0.166666666666667|0.25|10/30/2024
ADAMA DISTRICT|gAAAAABnTu6K0guJvWATn12Ypwpy6pAGjPM_xkOcdfTAGLeG-bVcqLfiU7GYSgz07KpLaKLsGz1vH50LAoNJ0Hb36SilUV54YQ==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|>= 12|BORA|E/SHEWA|BOTE|PRIVATE||2500YR30000 |2|2|9/17/2021|USSD|9/8/2023|INACTIVE|1|3611.4425|4.41666666666667|2.41666666666667|3.08333333333333|11/21/2024
