DISTRICT_NAME|CUSTOMER_ID|SECTOR_NAME|INDUSTRY_NAME|GENDER|NATIONALITY|MARITAL_STATUS|EDU_BG|PLACE_BIRTH|SUB_CITY|TOWN_COUNTRY|OCCUPATION|CUS_SALRG|NET_MONTHLY_OUT|NO_ACCT_TYPE|NO_ACCOUNTS|CUST_DATE|CHANNEL|MB_DATE|KPI_STATUS|CARD_USER|AVG_BAL|AVG_NO_TXN_FT|AVG_NO_TXN_TT_CR|AVG_NO_TXN_TT_DB|LAST_VISIT_DATE
HAWASA DISTRICT|gAAAAABnTu6Jkc8RdrqxOmluhIM7gm1vkZuKJjtvhmkVj4Hhk5Hx8LrmMoON0DWA5E4dlryH3Vm0Ba60k0rckjlQVbg4GUPoBw==|INDIVIDUAL|INDIVIDUAL|MALE|ET|MARRIED|<12|WOLAYITA|WOLAITA|BODITI|PRIVATE||1800YR21600 |1|1|3/21/2022|USSD|8/2/2023|ACTIVE|1|3733.20333333333|4.08333333333333|0.5|0.166666666666667|10/12/2024
WEST ADDIS DISTRICT|gAAAAABnTu6Jc3wnqCdlP4hisnlFWlRWc-gzdgKtX0399vw55rlZpWnqJtAufW23h-hMB5FQac2n6yX-_xrJCKpCWeD8CdFJ_A==|INDIVIDUAL|INDIVIDUAL|MALE|ET|MARRIED|>= 12|TULU BOLO|SOUTH WEST SHOA ZONE|TULLU BOLLO TOWN|SELF||NOTAVALIABLE YR 0|1|2|12/19/2020|USSD|10/17/2024|INACTIVE|1|3109.31083333333|2.66666666666667|1.0|1.16666666666667|11/21/2024
BAHIRDAR DISTRICT|gAAAAABnTu6J_M92zDBqoODF0E-4IFn52shl0cdgjNmMLHa1M7y1rWONt8OpToS-jEulzzIToGDfvZc63svVaI_H1MRbqT9oiw==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|>= 12|BURE|W/GOJJAM|BURE|Not Available||NOTAVALIABLEYR0 |1|1|2/4/2021|USSD|11/2/2023|ACTIVE|1|8022.5125|33.3333333333333|1.0|5.66666666666667|11/21/2024
BAHIRDAR DISTRICT|gAAAAABnTu6JIlJi3wDFb4Ls8iJlfVg9CFN8AlObkUNVjI5nbuui2nHTHI06XQH1KUTJL_Lg26J32QAgpRYv_EzjYyqRin_zTQ==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|<12|TEBERSERAKO|C/GONDER|AYIKEL|SELF EMPLOYEES|1000-10000|NOTAVALIABLEYR0|1|1|2/15/2023|USSD|7/3/2024|INACTIVE|1|491.666666666667|2.08333333333333|3.16666666666667|1.91666666666667|11/21/2024
EAST ADDIS DISTRICT|gAAAAABnTu6JXbVIXOQRgzmgom7Ov6v6fjpKGAWcbaEmfjNi6WZxaB08DDBBrQVRJMRFOcdUrLxPV-SDRoc8ujO7C05M8iedIg==|INDIVIDUAL|INDIVIDUAL|FEMALE|ET|MARRIED|<12|ET|N/SILK|AA|Private||10000.00YR120000|3|3|2/20/2023|USSD|5/8/2024|ACTIVE|1|2457.93916666667|17.1666666666667|0.416666666666667|1.5|11/21/2024
HAWASA DISTRICT|gAAAAABnTu6JNABGpOGQYZJeX1GcnF4c83hQ6ThJF21sVpSnw7j77xveJPoDWyH-TVhlzBuiAZS7qNTpociqdjyIOHK6uirvQw==|INDIVIDUAL|INDIVIDUAL|MALE|ET|MARRIED|<12|YIRGACHEFFE|GEDEO|Y/CHEFFE|Private|10001-20000|NOTAVALIABLEYR0 |1|1|4/29/2022|USSD|6/14/2024|ACTIVE|1|5734.96666666667|0.333333333333333|0.166666666666667|0.0833333333333333|7/31/2024
WEST ADDIS DISTRICT|gAAAAABnTu6JSKUV1YhipCLNrD8AKBErVS9O-tA3ZGgUJLarIpe72s9nm8AMgn0-PwwqshrWl_Fj-oqeniNsZh34nY9vV0QaXw==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|>= 12|TIHA|KOLFE KERANIYO|AA|PRIVATE|1000-10000|NOTAVALIABLEYR0|2|4|11/15/2017|USSD|5/27/2024|ACTIVE|1|115235.233333333|2.5|3.33333333333333|4.0|11/21/2024
JIMMA DISTRICT|gAAAAABnTu6J2L04P2GA5ZUMguiZqSchd8qQqnuoxvQT88vrdh5lIZDHCL6A2rd3NeRv-E2MCqU6dbQZXe6j_9fOydRKbEpxLg==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|Illiterate|DIMA|AGNUAK|DIMA|PVT||NOTAVALIABLEYR0|2|2|11/2/2023|USSD|12/22/2023|ACTIVE|1|9538.08083333333|8.5|0.5|2.33333333333333|11/21/2024
DIRE DEWA DISTRICT|gAAAAABnTu6JQlTmC3yVz1YZewoazhlS5VidYzIEISxT0o202QJEjGosaplqFwS5djmSsyQjX2kAYPWjpLWoiZRGXqkVw2Ok9Q==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|Illiterate|DD|DD|DD|Private||NOTAVALIABLEYR0|4|4|6/15/2023|USSD|10/5/2023|ACTIVE|1|16015.25|9.25|3.41666666666667|1.0|11/21/2024
EAST ADDIS DISTRICT|gAAAAABnTu6JN95mG86Lc1Fsga_ymypX9-uTqw402D4wHwMwn8Vzci-onEUrc41uysm5Koq-pzS5c5Dxs-xy_f-rD94IuZERNQ==|INDIVIDUAL|INDIVIDUAL|MALE|ET|DIVORCED|Not Available|YEMEN|YEMEN|YEMEN|PRIVATE||NOTAVALIABLE YR 0|1|1|2/16/2021|USSD|10/17/2023|ACTIVE|1|2507.02416666667|7.66666666666667|0.666666666666667|1.91666666666667|11/19/2024
BAHIRDAR DISTRICT|gAAAAABnTu6J-wdkQ27QD8k5WlKNpbOggy0roiYGgK4TniuwjGelGpHHg9uMsdLABKSZy9bbnsp6k4ulakB1LhCT5hOLu7knAg==|INDIVIDUAL|INDIVIDUAL|MALE|ET|MARRIED|Not Available|DEBRETABOR|DEBRETABOR|DEBRETABOR|Government|1000-10000|NOTAVALIABLEYR0 |1|1|8/4/2020|USSD|1/15/2024|INACTIVE|1|46951.3733333333|3.83333333333333|0.0833333333333333|0.75|11/20/2024
CENTERAL ADDIS DISTRICT|gAAAAABnTu6JbOKDhVOZ9unjgFPMGJw4Zl-ixJ-I5_ns8LsAwDIa_d8pxA8flHDdl8PDGNrifflpI7-tsGReYEY6lnzKASvmsg==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|Illiterate|AA|AKAKI KALITY|AA|SELF EMPLOYED||NOTAVALIABLEYR0|1|1|12/27/2023|USSD|6/26/2024|ACTIVE|1|42973.625|10.5|0.166666666666667|0.916666666666667|11/21/2024
ADAMA DISTRICT|gAAAAABnTu6Jyv4vlcCNfk0wQpqorM-c7IqqvZ1gQZopPH9jHGR-LKFBk0WqOJTSchI3_NCVJn3nPnaD0X4rg6YlFgPkVXJogA==|INDIVIDUAL|INDIVIDUAL|FEMALE|ET|SINGLE|>= 12|ADAMA|ADAMA|ADAMA|STUDENT||NOTAVALIABLEYR0 |1|2|12/28/2021|USSD|10/20/2023|INACTIVE|1|6214.16666666667|2.66666666666667|0.0833333333333333|0.0833333333333333|10/18/2024
EAST ADDIS DISTRICT|gAAAAABnTu6JvfYUp8wG_QLsobaljVzCmhnW8SJR-H_-VnNKey_yyJ7fgEPHAvZdf1HdCTU0qmIDc01qQ2XQJ-pl2V5ZQdhc-g==|INDIVIDUAL|INDIVIDUAL|MALE|ET|MARRIED|Degree|AA|BOLE|AA|PRIVATE|1000-10000|10000.00YR120000|3|3|5/6/2022|USSD|11/30/2023|INACTIVE|1|657.695|10.5|0.0833333333333333|0.416666666666667|11/1/2024
WEST ADDIS DISTRICT|gAAAAABnTu6JFM-co50PF95otveovZXtNzpwMNmY51ZbGZjKZ_pIHI1YrWkwCDHURE0nQQbrTCGqmxL0Jts4hEJzQZrv3hqmWA==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|>= 12|ADDIS ABABA|ADDIS KETEMA|ADDIS ABABA|SELF EMPLOYED||25000.00YR300000|2|3|10/27/2020|USSD|9/15/2023|LOST|1|896124.04|28.6666666666667|1.66666666666667|6.08333333333333|11/22/2024
ADAMA DISTRICT|gAAAAABnTu6JSJQ9z4qnojwGW7rTOAOynZPwZwWr-lAQKqybY4qsxa10p6CeZof9c7zIC-_GE-m2zs2hRkZQXK05GH_hVhYzLQ==|INDIVIDUAL|INDIVIDUAL|MALE|ET|MARRIED|<12|ADAMA|EAST SHOA|ADAMA|PRIVATE|1000-10000|8500YR102000|1|1|8/19/2020|USSD|6/13/2023|LOST|1|1136.08583333333|1.08333333333333|0.916666666666667|0.416666666666667|11/21/2024
HAWASA DISTRICT|gAAAAABnTu6JtN6Pid4MVpkU6hK2wsV6NSxHFqWD9wNdFIzsN6jtAnr3JxUPk9iRO0sztpQuKNqQLpXa38Y3EhCjgtyFzsRPDw==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE||BENSA DAYE|SIDAMA|HAWASSA CITY|STUDENT|||2|3|12/19/2017|USSD|2/7/2024|INACTIVE|1|2991.11583333333|1.33333333333333|0.666666666666667|1.16666666666667|9/4/2024
WEST ADDIS DISTRICT|gAAAAABnTu6Jmf_FK1YHLBpZht7J0AOHIO4Iuxp2W7Gy2EbaTz8SZLtcMaSaBwNa4AhihyU1Qcfoc9SkPLqtKtyP8u08T2Sn7A==|INDIVIDUAL|INDIVIDUAL|MALE|ET|MARRIED|>= 12|AA|KK|AA|PRIVATE|1000-10000|5000.00YR60000|3|5|2/24/2020|USSD|1/29/2024|ACTIVE|1|8748.06416666667|11.6666666666667|0.333333333333333|0.916666666666667|11/13/2024
DESSIE DISTRICT|gAAAAABnTu6JF1QgZgaxqzkMi3mNomC0EWViJCPH7QweEzFWjzpXno9_VZEmm3wzurQh3JvKLawWONS4nUEIdjSz1RDXeqi48A==|INDIVIDUAL|INDIVIDUAL|MALE|ET|MARRIED|Not Available|MERSA|N/WOLLO|MERSA|Private||NOTAVALIABLEYR0|1|1|3/15/2023|USSD|12/6/2023|INACTIVE|1|422.541666666667|3.25|2.83333333333333|0.166666666666667|3/17/2024
BAHIRDAR DISTRICT|gAAAAABnTu6JVVQ0L_UVMXAuyb_cL5YZVMZfjWlxpBQz0iJj2H1-CgxjEPDF6RsfxjAPDdJCVJmFvqEuFMVUkZne01QZKGy95w==|INDIVIDUAL|INDIVIDUAL|MALE|ET|DIVORCED|>= 12|NUNU ATIBARKUA|WEST GOJAM|DURBETE|Government||NOTAVALIABLEYR0|1|1|8/21/2017|USSD|8/21/2017|ACTIVE|1|883.056666666667|0.75|0.333333333333333|2.83333333333333|11/20/2024
ADAMA DISTRICT|gAAAAABnTu6JnI1xL3KJZPVFMhdJbiqmYKhppQxbCe7mWh8Wm4n86CHhksgp8n1YOsHMbYSYiUA4yZWs_NKYhbyPALfCPqQFNg==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|>= 12|MODJO|MODJO|MODJO|PRIVET|1000-10000|10000.00|1|1|4/4/2019|USSD|11/11/2024|ACTIVE|1|2215.19166666667|9.08333333333333|0.5|3.25|11/18/2024
WEST ADDIS DISTRICT|gAAAAABnTu6JLSqGsrk-u5_KioO0Dc15iwhhjpWxX5DzsiXYd3Z5mjMTx5F6LAvB92wgQ_pqgXghkg3Xtnbbn3eg0SdeoCtMIQ==|INDIVIDUAL|INDIVIDUAL|MALE|ET|MARRIED|>= 12|WAGHIMRA|YEKA|AA|SELF EMPLOYEED|1000-10000|NOTAVALIABLEYR0 |1|2|9/15/2020|USSD|10/5/2020|ACTIVE|1|2836.54083333333|14.75|0.583333333333333|0.25|11/19/2024
JIMMA DISTRICT|gAAAAABnTu6JiRpNtpUCxTxp8Nx9Nne9R4-0oV_F62U94VyaQzQmZXatJsDmVQDa9okYG0WIgZHw6DLIEGKLzmD5c52oblXuNg==|INDIVIDUAL|INDIVIDUAL|FEMALE|ET|SINGLE||KUMRUK|ASSOSA|ASSOSA|STUDENT|||2|3|10/11/2016|USSD|10/13/2016|INACTIVE|1|1376.9575|0.5|0.333333333333333|0.666666666666667|11/11/2024
WEST ADDIS DISTRICT|gAAAAABnTu6J3XG7Jf1tHc58HbaVoLLyBAf3KWZUVWAMijiKH07fmgPndUOblWVYXY4RpR9AFQWLWuxnUpVRIEaukl0Il0lN3g==|INDIVIDUAL|INDIVIDUAL|FEMALE|ET|SINGLE|>=12|ET|SILTE|TORA|STUDENT|1000-10000|1000YR12000|2|2|1/17/2023|USSD|11/8/2023|ACTIVE|1|4677.58333333333|7.58333333333333|0.583333333333333|0.833333333333333|10/28/2024
BAHIRDAR DISTRICT|gAAAAABnTu6JgN6lAwYH7GbktQKmba--3ivYz8vx89KJb62Hn4s9GzAe35cH7ee14Q9eJokV6ogTC1jnIAXfIW0s0D1fJpADBA==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|Illiterate|SHAHURA|C.GONDAR|SHAHURA|Government||10000.00YR120000|1|1|12/9/2023|USSD|1/13/2024|ACTIVE|1|238.688333333333|3.83333333333333|1.16666666666667|0.916666666666667|11/18/2024
EAST ADDIS DISTRICT|gAAAAABnTu6JKG0ikwWTHSEXLFdo92aXZKgMBiKf5kZxygwK_jhZdW8qdCJEj1z8XmU793kBj6Dn1tB8dVaIHVoDsejnWQvu9Q==|INDIVIDUAL|INDIVIDUAL|FEMALE|ER|SINGLE|>= 12|AA|NSL|AA|PRIVATE|1000-10000|5000.00YR60000|2|3|6/11/2021|USSD|10/24/2023|ACTIVE|1|10923.7333333333|7.33333333333333|0.0833333333333333|1.41666666666667|11/22/2024
PRODUCTION-HEAD OFFICE|gAAAAABnTu6JWjutiufSh8HTx17IvQKoudfuLIoVun9tNBWu3vYjUCmEA8PXBdZ-iyC5Hf9eOY11F5U1xETc8ah89SL4G0OS9Q==|INDIVIDUAL|INDIVIDUAL|FEMALE|ET|MARRIED|Diploma|AA|LEMI KURA|AA|PRIVATE|10001-20000|9700.00YR116400|2|4|10/25/2022|USSD|6/25/2024|ACTIVE|1|20915.0333333333|0.75|0.416666666666667|0.75|10/16/2024
ADAMA DISTRICT|gAAAAABnTu6JniuzFD59G-_oi7C3maCypCEugqBxUni5-sdA8u4dZlCZWCY6fhvMPJvaxJtOSLWv9QfUTAE5YKfAj0f1K4YzZg==|INDIVIDUAL|INDIVIDUAL|FEMALE|ET|MARRIED|Degree|ADAMA|ADAMA|ADAMA|EMPLOYED|1000-10000|5000.00YR60000|1|2|12/23/2020|USSD|7/2/2024|ACTIVE|1|2790.52833333333|12.5|0.5|1.25|11/21/2024
ADAMA DISTRICT|gAAAAABnTu6J3tsY2WOUxg1WBAFYED7duThHrpq0H1KST91CaYGHBd4TNLSPchIAjpAt6FLwmYhxypZem6-nKyE4RyMIwtQV0g==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|>= 12|MINJAR|N/SHEWA|ARERTI|EMPLOYEED|30001-47000|46034.00YR552408|9|10|9/10/2020|USSD|12/28/2023|ACTIVE|1|1669974.35166667|29.4166666666667|2.58333333333333|20.3333333333333|11/22/2024
CENTERAL ADDIS DISTRICT|gAAAAABnTu6J8FUm7shthCKbxDaja-fQzi5wsb08mB8fg7SR3BQIcfWr0_tUgSbacfqyKX4g3CYrcdeNKe2nu7GJNT9SC0egGA==|INDIVIDUAL|INDIVIDUAL|FEMALE|ET|SINGLE|<12|AA|AKAKI KALIT|AA|Private|1000-10000|NOTAVALIABLEYR0|4|4|4/15/2022|USSD|8/31/2024|ACTIVE|1|2399.45916666667|12.4166666666667|0.666666666666667|0.166666666666667|11/21/2024
DIRE DEWA DISTRICT|gAAAAABnTu6JvNs2q7lCY3Ut4AAttkkTUBUzfke7xO4BYSC3Mfp4RYREjDkkAGs0gOLS_XZSEmrc4Q6mgDOQ6I5JENBXYaH37A==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|<12|DD|DD|DD|STUDENT||NOTAVALIABLEYR0 |2|3|3/23/2022|USSD|7/19/2024|ACTIVE|1|234962.784166667|7.91666666666667|0.666666666666667|0.833333333333333|11/16/2024
MEKELLE DISTRICT|gAAAAABnTu6JT2h6UtiDRaOMdCdAPmVyDYzhum8vGjsGE6gJCzckyw0ElW1-9yAIi41nw7akDu-oCeXXAxs2zZ90S58mYc_E1A==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|12|ADIGRAT|EASTERN|ADIGRAT|DAILY WORKER||1500.00|2|2|8/8/2014|USSD|2/15/2024|INACTIVE|1|5142.87583333333|13.0|0.25|0.166666666666667|11/21/2024
CENTERAL ADDIS DISTRICT|gAAAAABnTu6JvuFybXhf_AAhTevXrj2ZdSYperCRgN3Ue1DOROFJn82OZ5xzuRS8t3lTYkHO5_HrYEn9uqY73lkMrwA0WeYrvg==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|>= 12|AA|KIRKOS|AA|PRIVATE|1000-10000|7000YR84000 |3|5|4/13/2016|USSD|11/20/2023|ACTIVE|1|220.304166666667|5.0|0.333333333333333|1.58333333333333|9/19/2024
ADAMA DISTRICT|gAAAAABnTu6JPnrwJYOXpqsykexPjAwuVVrcE7WvIyR_wNZ7Nw7_oesb_XBkmDuAOl7fSb5BXWFsdHXI8nPESNgZV69mX5bXJA==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|>= 12|SILTANA|ARSI|SILTANA|Private||NOTAVALIABLEYR0 |1|1|2/23/2022|USSD|5/31/2024|INACTIVE|1|170.61|0.166666666666667|0.5|1.5|11/16/2024
DESSIE DISTRICT|gAAAAABnTu6J3joWvLxFQjr_lcaUIqx7fQ5Je10Zji845_kIE0vD3VLxt68Qy5NNRffl6ezdtUpU6sDAaWAB0m9rivgNTigp9g==|INDIVIDUAL|INDIVIDUAL|MALE|ET|MARRIED|>= 12|WEGDI|SOUTH WOLLO|WEGDI|SELF EMPLOYED||NOTAVALIABLE YR 0|1|1|5/19/2021|USSD|9/11/2023|ACTIVE|1|70770.1083333333|3.66666666666667|4.0|0.166666666666667|11/20/2024
WEST ADDIS DISTRICT|gAAAAABnTu6J25roAAj_eLwIjk6Sqy1JIDvvjC4FubYURygnQOdT6FSYBIeHvW6SFsdFlIIaPhkqOizhRZkRrdYlK8_TqOUySA==|INDIVIDUAL|INDIVIDUAL|FEMALE|ET|MARRIED|>= 12|SODO|KOLFE KERANIO|AA|PRIVATE||8000YR96000 |1|1|4/9/2014|USSD|7/19/2024|ACTIVE|1|7962.7125|3.0|0.833333333333333|0.5|11/16/2024
DESSIE DISTRICT|gAAAAABnTu6JSZW7H589lpill3APzDkBJlllz1fFRAO1Q00522UyqciUfkoxfcEuCxWMfuvg5LfFkgL3Mmfhck47vbA9onfblg==|INDIVIDUAL|INDIVIDUAL|MALE|ET|MARRIED|Degree|WOLEGA|HOLETA|HOLETA|SOLDER|1000-10000|8750.00YR105000|2|3|8/16/2022|USSD|5/22/2024|ACTIVE|1|215570.441666667|5.41666666666667|0.416666666666667|0.25|11/17/2024
BAHIRDAR DISTRICT|gAAAAABnTu6Jpy3j_k7GI0vLbFI2k8ZxtOKkyPW_XnbdYmKyuud0KtemzlADonG_Mv8bkpNoUjZSA7y0ohUGmW7jjkM8MSAzFw==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|>= 12|BDR|FASSILO|BDR|PVT||5000YR60000 |1|1|1/22/2020|USSD|9/20/2023|ACTIVE|1|4107.83|10.0833333333333|0.0833333333333333|0.0833333333333333|11/9/2024
CENTERAL ADDIS DISTRICT|gAAAAABnTu6Jx14h9s7xXAxak4BnGxhVlTwENZ_J4L6Gp1zAqRt1JF8fPLJImVUZj0Hlz71PRyenPP0CJNEQqoyrbu3moXICFg==|INDIVIDUAL|INDIVIDUAL|FEMALE|ET|SINGLE|>= 12|AA|GULELE|AA|PRIVATE||1000YR12000 |1|2|5/25/2021|USSD|10/25/2023|INACTIVE|1|847.674166666667|2.58333333333333|0.0833333333333333|0.5|10/7/2024
WEST ADDIS DISTRICT|gAAAAABnTu6JGVmrqycaG3Y66t1INA-ocQMrxQ7rD_RDdvR3TQYb4ic6gEvcOdwd48Tv4uDNrhGiyS2n54nNBHBDq-qjj9Q96g==|INDIVIDUAL|INDIVIDUAL|FEMALE|ET|MARRIED|>= 12|AA|KOLFE KERANIO|AA|PRIVATE||NOTAVALIABLEYR0|3|9|2/4/2020|USSD|12/4/2023|INACTIVE|1|22446.2266666667|3.16666666666667|0.666666666666667|2.33333333333333|10/22/2024
ADAMA DISTRICT|gAAAAABnTu6J2V0XatQKpT0hyI4thiR2RQmj09WPSSygivXigculXVJ1XOGsZcWieMQ2FKyZs75T-IX-is8uWLxFegeRQiWvjw==|INDIVIDUAL|INDIVIDUAL|MALE|ET|MARRIED|<12|ET|GEWANE 01|AFAR|PVT||NOTAVALIABLEYR0 |1|2|11/14/2022|USSD|8/30/2023|ACTIVE|1|8492.20166666667|9.91666666666667|0.916666666666667|3.25|11/20/2024
BAHIRDAR DISTRICT|gAAAAABnTu6JZxh1RiD3ElUgR6nJ41kKD73_ifyGQS8CfZdCfMxJ6H33R81U2q4Zod7EyiMqLUkYY5FzpUaMY7cdSiPdAmOUGQ==|INDIVIDUAL|INDIVIDUAL|FEMALE|ET|MARRIED|<12|D/TABOR|D/MNILIK|BAHIRDAR|Not Available||NOTAVALIABLE YR 0|1|1|5/16/2022|USSD|8/1/2023|ACTIVE|1|2371.36166666667|2.91666666666667|0.166666666666667|0.25|11/18/2024
BAHIRDAR DISTRICT|gAAAAABnTu6JQnNDzBBAlKbOazmvOAedrsi9Mi6dxrEW5II4uqIVvAmPLNfYv5jlMMgnNfhd_UXAFGYL8F0eEzb1u1yY_9Iudw==|INDIVIDUAL|INDIVIDUAL|MALE|ET|DIVORCED|>= 12|CHAGNI|AWI|BAHIR DAR|STUDENT||300.00|2|2|2/15/2021|USSD|7/15/2024|ACTIVE|1|1504.85|4.66666666666667|0.583333333333333|3.08333333333333|11/15/2024
WEST ADDIS DISTRICT|gAAAAABnTu6J9aJEAgSxDaAdQFJEyZjCFj350CUqft30JSHm37u1m-ZlL2SSs6uEyNg_qk4Iasid98RJelOIUnJNsBnZGaJpXQ==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|<12|ETH|LIDETA|AA|STUDENT||2000.00YR24000|1|1|4/26/2024|USSD|10/23/2024|ACTIVE|1|400.883333333333|0.25|0.25|0.583333333333333|10/25/2024
ADAMA DISTRICT|gAAAAABnTu6JCj9Hf6X9BTvunXJJ4QHm5xoZuYVYkkIkF6QrTal_0I-O5jvV9KaEkaP2cw9u6CXFQ_oKVO64EloXK7pCUlvT9w==|INDIVIDUAL|INDIVIDUAL|FEMALE|ET|SINGLE|<12|METEHBELA|NORTH SHEWA|METEHBELA|PRIVETE||NOTAVALIABLEYR0|2|2|10/25/2022|USSD|7/18/2023|ACTIVE|1|2786.4675|2.0|0.25|0.25|11/9/2024
JIMMA DISTRICT|gAAAAABnTu6JfOByWrgCA_Dc8CySUNUjj81ufsXmGGqPtEDGn8WMEoqgl_gX5NaIZ1oqW0HEDgeqS_hZk1bn_Nda-1ZaNNUaPg==|INDIVIDUAL|INDIVIDUAL|MALE|ET|MARRIED|Illiterate|JIMMA|JIMMA|JIMMA|SELF EMP.||1000.00YR12000|1|1|6/6/2024|USSD|7/4/2024|ACTIVE|1|2.5|0.333333333333333|0.25|0.0833333333333333|8/6/2024
EAST ADDIS DISTRICT|gAAAAABnTu6Jjb0YlsbNEAU7mFe7pm_ljtkkd7MbNS9EEzW-sr2r22H7y6MAUOf2BX_wJqiEVwklXsL0aAAgYbktlqSqul5TIw==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|>= 12|BIT YOHANES|SEMAN WOLLO|SEMAN WOLLO|PRIVATE|1000-10000|5000.00YR60000|2|2|5/14/2020|USSD|4/9/2024|INACTIVE|1|338.583333333333|0.75|0.75|0.833333333333333|7/1/2024
BAHIRDAR DISTRICT|gAAAAABnTu6J6RpSzgLSxntSO9HQrf1z_tfMtrx3qM5_BlZptyAT_wsK6klPvYraUsCEPbp9in5RX2yVJOOofah0S59cfKrXLg==|INDIVIDUAL|INDIVIDUAL|MALE|ET|MARRIED|<12|WERARBO|DEBUB WOLLO|BAHIRDAR|Private|1000-10000|10000.00YR120000|1|1|7/20/2024|USSD|8/12/2024|ACTIVE|1||5.41666666666667|0.333333333333333|0.333333333333333|11/10/2024
EAST ADDIS DISTRICT|gAAAAABnTu6JrGd0et6SHeBx3sD0zH55ckScl_SaEpB6LctaGbLExgP37MsJl71IVY6ARFjeMXJLXSx570u771m1dTTDCmdS7g==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|>= 12|AA|YEKA|AA|PRIVATE|1000-10000|13000YR156000 |2|2|1/4/2022|USSD|6/16/2023|ACTIVE|1|74783.2266666667|13.3333333333333|0.0833333333333333|0.5|11/15/2024
WEST ADDIS DISTRICT|gAAAAABnTu6J95TX85oiu-Sy9QNaATJ81oIXHurC8uQVjvcjnSCpJeiWvl6JEIKvWqBRjOcLYByTAUIsXnTXFcHCOHrewG_5OA==|INDIVIDUAL|INDIVIDUAL|FEMALE|ET|DIVORCED|Diploma|AA|KIRKOS|AA|SELF EMPLOYED|47001-60000|2000.00YR24000|1|2|12/31/2020|USSD|10/31/2023|ACTIVE|1|30183.9691666667|10.9166666666667|0.166666666666667|0.833333333333333|11/21/2024
CENTERAL ADDIS DISTRICT|gAAAAABnTu6JCGk__yBEarY69ACRrdubl-mmXWxSwd7FNwuj6TpPjG3rcrDXOSQFF1-KvQ0E8H7b82XBhlSYKtCZD9YurfPcPQ==|INDIVIDUAL|INDIVIDUAL|MALE|ET|DIVORCED|>= 12|A.A|NIFAS SILK LAFTO|AA|SELF||4600YR55200 |1|1|6/17/2017|USSD|7/22/2024|INACTIVE|1|121186.833333333|0.666666666666667|0.166666666666667|1.91666666666667|10/21/2024
JIMMA DISTRICT|gAAAAABnTu6JdDNKTNdWmUz84VrUlWuDHTA65chZKvrsBRGHoAg5m6FcMH803pJBpxT6PRtQ5KyozKMb4KZ7ADCbtUbdcJsXwQ==|INDIVIDUAL|INDIVIDUAL|MALE|ET|DIVORCED||ASSOSA|ASSOSA|ASSOSA|SELF|||2|2|6/24/2021|USSD|7/13/2023|ACTIVE|1|2679.07|20.3333333333333|13.1666666666667|0.0833333333333333|11/21/2024
BAHIRDAR DISTRICT|gAAAAABnTu6JMxLDXd0S4Jub9loSr774SzHInqLEpInvtVniAiXB3F0_o6YQA-eQGe1wP1qdVsP16qmE14ZwpJh-DUMZVR2f6A==|INDIVIDUAL|INDIVIDUAL|FEMALE|ET|SINGLE|>= 12|DEBRE ELIAS|EAST GOJJAM|DEBRE ELIAS|Government||1500YR18000 |1|1|7/29/2021|USSD|12/16/2023|ACTIVE|1|3355.88166666667|7.5||2.5|11/11/2024
BAHIRDAR DISTRICT|gAAAAABnTu6J_UubxkWMfNhDGAYtIQiCaGLrdmpOVAn4tEcZD8l8uR3zLC3Oq5pTmTt3OD6K39w7HH2yhB9d5mpySCXOGLCzUA==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|<12|DEBRETABOR|S/GONDER|DEBRETABOR|Not Available||NOTAVALIABLEYR0 |1|1|3/10/2023|USSD|11/13/2024|INACTIVE|1|217.080833333333|1.75|0.5|0.416666666666667|11/13/2024
